template_id,template_str,count,ops,num_examples,constants,sample_example
c5df09e2ebc6,"LINEAR:divide(ARG0,ARG1)",241,,241,,mathqa_train_4
d3e7fcc76529,"LINEAR:divide(ARG0,ARG1)|multiply(TEMP0,CONST_100)",239,,239,,mathqa_train_3
6b1e389c2c80,"LINEAR:multiply(ARG0,ARG2)",175,,175,,mathqa_train_282
a0abfe4e3a5e,"LINEAR:multiply(ARG0,ARG1)|divide(TEMP0,ARG2)",175,,175,,mathqa_train_220
ba792035ceaa,"LINEAR:add(ARG0,ARG1)|divide(TEMP0,CONST_2)",165,,165,,mathqa_train_23
1379ef00d64f,"LINEAR:divide(ARG1,ARG0)",149,,149,,mathqa_train_52
39075bf05f53,"LINEAR:multiply(ARG0,ARG1)",138,,138,,mathqa_train_37
83a080372c1d,"LINEAR:add(ARG0,CONST_1)",116,,116,,mathqa_train_552
024224bbcc9b,"LINEAR:multiply(ARG1,CONST_0_2778)|divide(ARG0,TEMP0)",110,,110,,mathqa_train_261
59ad42bbd54f,"LINEAR:multiply(ARG0,ARG1)|add(ARG2,TEMP0)",106,,106,,mathqa_train_10
cb147a48bf44,"LINEAR:multiply(ARG0,CONST_1000)|divide(TEMP0,CONST_3600)|multiply(ARG1,TEMP1)",106,,106,,mathqa_train_458
b32ac632dc57,"LINEAR:subtract(ARG1,ARG0)|divide(TEMP0,ARG0)|multiply(TEMP1,CONST_100)",93,,93,,mathqa_train_1240
c854b7dab16c,"LINEAR:add(ARG0,ARG1)",86,,86,,mathqa_train_1862
99b7ac55523a,"LINEAR:negate(ARG3)|subtract(ARG1,ARG2)|subtract(ARG0,ARG1)|divide(TEMP1,TEMP2)|multiply(TEMP3,TEMP1)|subtract(TEMP0,TEMP4)",82,,82,,mathqa_train_538
e0a390e49802,"LINEAR:add(ARG0,ARG2)|multiply(ARG1,CONST_0_2778)|divide(TEMP0,TEMP1)",81,,81,,mathqa_train_561
0e0b55812278,"LINEAR:add(ARG0,ARG1)|add(ARG2,ARG3)|multiply(TEMP1,CONST_0_2778)|divide(TEMP0,TEMP2)",77,,77,,mathqa_train_73
3b3bdccadcb2,"LINEAR:subtract(ARG0,ARG1)",73,,73,,mathqa_train_763
2b317720126e,"LINEAR:subtract(ARG1,ARG2)|multiply(TEMP0,CONST_0_2778)|divide(ARG0,TEMP1)",73,,73,,mathqa_train_28
eaef84285bbc,"LINEAR:add(ARG1,CONST_4)|factorial(ARG1)|subtract(CONST_4,CONST_1)|factorial(TEMP2)|subtract(TEMP0,CONST_1)|factorial(TEMP4)|multiply(TEMP1,TEMP3)|divide(TEMP5,TEMP6)",73,,73,,mathqa_train_397
5c9f77fa91f1,"LINEAR:subtract(ARG2,ARG1)|divide(TEMP0,ARG0)|add(TEMP1,CONST_1)",68,,68,,mathqa_train_531
8e7190e02763,"LINEAR:subtract(ARG1,ARG0)",68,,68,,mathqa_train_379
301b461fed44,"LINEAR:subtract(ARG0,ARG1)|divide(TEMP0,ARG0)|multiply(TEMP1,CONST_100)",67,,67,,mathqa_train_161
